Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,EBRACC2,162,1,ES,,,HDAM,WAT,0.85,0,0,0.566037736,0.566037736,0,,0,0,0.85,0.3,0,,,,,,,,,11340,0,0,0,,,,,,,,
,FFWMARK,162,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,COMETAS,159,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FLAISLA,158,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFEGEL2,153,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TER,151,1,ES,,,HDAM,WAT,0.85,0,0,0.566037736,0.566037736,0,,0,0,0.85,0.3,0,,,,,,,,,10570,0,0,0,,,,,,,,
,FGST151,150,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FGST152,150,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,RODRIG,148,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FHIBGES,148,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EOLICA,144,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EMOCI,144,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FFIBGES,141,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ECYLEO,141,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EESQUI,140,1,ES,,,WTON,WIN,1,0,0,0.918367347,0.918367347,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TFIBGES,135,1,ES,,,COMC,GAS,0.525,5,1,0.080942029,0.080942029,112542.12,,0,0.4,0.525,0,0.45,,,,,,,,,,,,,,,,,,,,
,UPRENCIERZ,135,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFEGEL1,130,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,OLMEDILLA,130,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FGASNE1,129,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EGVENTO,128,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FVEMINN,124,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EFPART,123,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,UPFCENT,117,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,UPGARNACHA,114,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TERA-ESLA,114,1,ES,,,HDAM,WAT,0.85,0,0,0.775862069,0.775862069,0,,0,0,0.85,0.3,0,,,,,,,,,7980,0,0,0,,,,,,,,
,LAS MAJAS,113,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ALFOZ,112,1,ES,,,WTON,WIN,1,0,0,1.125,1.125,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HFGASN,110,1,ES,,,HDAM,WAT,0.85,0,0,0.825688073,0.825688073,0,,0,0,0.85,0.3,0,,,,,,,,,7700,0,0,0,,,,,,,,
