 ,WTON,WTOF,PHOT,HROR
2021-10-15 21:00:00+00:00,0.106662863,0,0,0.174566884
2021-10-15 22:00:00+00:00,0.117694874,0,0,0.159905514
2021-10-15 23:00:00+00:00,0.117761151,0,0,0.151836786
2021-10-16 00:00:00+00:00,0.112856695,0,0,0.147402261
2021-10-16 01:00:00+00:00,0.110169488,0,0,0.146238168
2021-10-16 02:00:00+00:00,0.099233878,0,0,0.145763582
2021-10-16 03:00:00+00:00,0.08860555,0,0,0.146193755
2021-10-16 04:00:00+00:00,0.079790786,0,0,0.145838997
2021-10-16 05:00:00+00:00,0.068077935,0,0,0.14760498
2021-10-16 06:00:00+00:00,0.05639521,0,0.008008861,0.15807544
2021-10-16 07:00:00+00:00,0.040235813,0,0.147512343,0.161453497
2021-10-16 08:00:00+00:00,0.022021847,0,0.345279341,0.156885512
2021-10-16 09:00:00+00:00,0.015972618,0,0.463020987,0.150461509
2021-10-16 10:00:00+00:00,0.01839472,0,0.499826323,0.149928768
2021-10-16 11:00:00+00:00,0.022196576,0,0.513060555,0.14807275
2021-10-16 12:00:00+00:00,0.029993093,0,0.492247637,0.147427216
2021-10-16 13:00:00+00:00,0.04569458,0,0.434388992,0.149679987
2021-10-16 14:00:00+00:00,0.069632418,0,0.334853904,0.15573736
2021-10-16 15:00:00+00:00,0.087978937,0,0.193553806,0.171809076
2021-10-16 16:00:00+00:00,0.098004752,0,0.068486518,0.183085683
2021-10-16 17:00:00+00:00,0.102891132,0,0.006579159,0.197947793
2021-10-16 18:00:00+00:00,0.113266404,0,0,0.206514633
2021-10-16 19:00:00+00:00,0.117863578,0,0,0.200397456
2021-10-16 20:00:00+00:00,0.119725343,0,0,0.190750073
2021-10-16 21:00:00+00:00,0.122936737,0,0,0.169817508
2021-10-16 22:00:00+00:00,0.122460751,0,0,0.151766648
2021-10-16 23:00:00+00:00,0.126563864,0,0,0.147877287
2021-10-17 00:00:00+00:00,0.132787823,0,0,0.149259929
2021-10-17 01:00:00+00:00,0.133257783,0,0,0.149788162
2021-10-17 02:00:00+00:00,0.144006614,0,0,0.149539161
2021-10-17 03:00:00+00:00,0.136951187,0,0,0.148245016
2021-10-17 04:00:00+00:00,0.125063607,0,0,0.148609118
2021-10-17 05:00:00+00:00,0.110711749,0,0,0.15099436
2021-10-17 06:00:00+00:00,0.094100468,0,0.001948443,0.153758545
2021-10-17 07:00:00+00:00,0.080387274,0,0.082201534,0.158682606
2021-10-17 08:00:00+00:00,0.071265228,0,0.271124624,0.159071333
2021-10-17 09:00:00+00:00,0.059630704,0,0.383691509,0.158014206
2021-10-17 10:00:00+00:00,0.05547939,0,0.446003739,0.157583704
2021-10-17 11:00:00+00:00,0.05103887,0,0.459326537,0.156273948
2021-10-17 12:00:00+00:00,0.048984301,0,0.46008567,0.152895452
2021-10-17 13:00:00+00:00,0.052008915,0,0.448711316,0.152370956
2021-10-17 14:00:00+00:00,0.052424649,0,0.394294077,0.152391184
2021-10-17 15:00:00+00:00,0.050749663,0,0.285244512,0.153570887
2021-10-17 16:00:00+00:00,0.044652233,0,0.13302554,0.162291195
2021-10-17 17:00:00+00:00,0.044194323,0,0.01287997,0.177902727
2021-10-17 18:00:00+00:00,0.05034598,0,0,0.201580568
2021-10-17 19:00:00+00:00,0.054750349,0,0,0.181166892
2021-10-17 20:00:00+00:00,0.060383845,0,0,0.168622304
2021-10-17 21:00:00+00:00,0.06786103,0,0,0.160110321
2021-10-17 22:00:00+00:00,0.075573196,0,0,0.147439199
2021-10-17 23:00:00+00:00,0.076585418,0,0,0.142715438
2021-10-18 00:00:00+00:00,0.08064033,0,0,0.141564427
2021-10-18 01:00:00+00:00,0.084550638,0,0,0.145205886
2021-10-18 02:00:00+00:00,0.087858434,0,0,0.146779154
2021-10-18 03:00:00+00:00,0.094510177,0,0,0.146781573
2021-10-18 04:00:00+00:00,0.105319259,0,0,0.147766583
2021-10-18 05:00:00+00:00,0.109145216,0,0,0.157101313
2021-10-18 06:00:00+00:00,0.110904554,0,0.005060892,0.161687437
2021-10-18 07:00:00+00:00,0.104385364,0,0.119652134,0.158951835
2021-10-18 08:00:00+00:00,0.099854467,0,0.322619198,0.152019496
2021-10-18 09:00:00+00:00,0.094907836,0,0.457922139,0.144616529
2021-10-18 10:00:00+00:00,0.092437533,0,0.522461161,0.141901045
2021-10-18 11:00:00+00:00,0.088466972,0,0.557393967,0.141228028
2021-10-18 12:00:00+00:00,0.085858091,0,0.567895317,0.141157121
2021-10-18 13:00:00+00:00,0.086514831,0,0.545804525,0.140845677
2021-10-18 14:00:00+00:00,0.088918857,0,0.495967393,0.142137954
2021-10-18 15:00:00+00:00,0.087557178,0,0.37115315,0.150554733
2021-10-18 16:00:00+00:00,0.094781308,0,0.154584939,0.176545809
2021-10-18 17:00:00+00:00,0.109687478,0,0.011285789,0.223721529
2021-10-18 18:00:00+00:00,0.117893704,0,0,0.21446881
2021-10-18 19:00:00+00:00,0.136806584,0,0,0.196888467
2021-10-18 20:00:00+00:00,0.166209215,0,0,0.177330849
2021-10-18 21:00:00+00:00,0.194605649,0,0,0.162613962
2021-10-18 22:00:00+00:00,0.214217444,0,0,0.154761364
2021-10-18 23:00:00+00:00,0.227822186,0,0,0.144667209
2021-10-19 00:00:00+00:00,0.233540034,0,0,0.139507009
2021-10-19 01:00:00+00:00,0.237667247,0,0,0.138917432
2021-10-19 02:00:00+00:00,0.245186609,0,0,0.138621819
2021-10-19 03:00:00+00:00,0.240914792,0,0,0.144229121
2021-10-19 04:00:00+00:00,0.238986751,0,0,0.161686667
2021-10-19 05:00:00+00:00,0.239336208,0,0,0.153057495
2021-10-19 06:00:00+00:00,0.241294375,0,0.004175236,0.155291797
2021-10-19 07:00:00+00:00,0.238878298,0,0.144703548,0.161269357
2021-10-19 08:00:00+00:00,0.233094174,0,0.388183051,0.162186318
2021-10-19 09:00:00+00:00,0.23684783,0,0.51819736,0.15448444
2021-10-19 10:00:00+00:00,0.253236181,0,0.580408372,0.151502256
2021-10-19 11:00:00+00:00,0.271335669,0,0.609192194,0.149927009
